model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,3,4,0.0499,0.1519,0.102,0.024,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,5,4,0.0598,0.2377,0.1779,-0.0508,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,8,4,0.1199,0.2732,0.1533,-0.0056,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,16,4,0.2499,0.1557,-0.0942,0.0344,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,2,5,0.0228,0.049,0.0262,0.0133,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,3,5,0.0193,0.1041,0.0848,0.002,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,5,5,0.0888,0.2479,0.1591,-0.0277,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,8,5,0.1186,0.1397,0.0211,-0.0251,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,16,5,0.2607,0.3097,0.0491,-0.0379,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,2,0,0.0783,0.0572,-0.0211,-0.0006,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,3,0,0.0627,0.0945,0.0319,-0.001,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,5,0,0.0743,0.1876,0.1133,0.007,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,8,0,0.1418,-0.0015,-0.1434,0.0327,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,16,0,0.2255,0.3421,0.1166,-0.0548,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,2,1,0.0269,0.0539,0.0271,-0.0406,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,3,1,0.0532,0.1389,0.0856,-0.02,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,5,1,0.0755,0.1817,0.1062,0.0076,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,8,1,0.1064,0.2273,0.1209,0.0165,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,16,1,0.2279,0.1674,-0.0605,0.0353,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,2,2,0.0464,0.0652,0.0188,0.0314,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,3,2,0.0778,0.1485,0.0707,0.0203,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,5,2,0.076,0.1399,0.064,0.0062,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,8,2,0.1326,0.2059,0.0733,-0.013,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,16,2,0.2392,0.2067,-0.0325,-0.0023,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,2,3,0.0266,0.0647,0.0382,0.0095,42,18
